adapter,split,n,n_source_code,mean_alpha,p95_alpha,mean_source_prob_delta,mean_source_prob_delta_on_source,primitive_switch_rate,mean_action_l1_shift,p95_action_l1_shift,mean_logprob_delta,mean_entropy_delta,p95_ood_max_pct,mean_net_return_context
original_ppo_hidden_direction,adapter_holdout,40,33,0.0,0.0,0.0,0.0,0.0,4.866160452365875e-08,1.6205012798309326e-07,-2.288818359375e-06,5.7220458984375e-07,0.9806859806859807,-0.0017020724248487517
original_ppo_hidden_direction,adapter_train,2720,314,0.0,0.0,0.0,0.0,0.0,4.2640877997173986e-08,1.341104507446289e-07,7.152557373046875e-08,-3.6464017980238973e-08,0.9763736263736263,0.0005918835518201989
original_ppo_hidden_direction,validation,243,0,0.0,0.0,0.0,,0.0,2.9081792988404326e-08,8.940696716308594e-08,2.982685104809671e-07,-3.139668531378601e-07,0.9716949716949717,0.00019658567633006638
oracle_schedule_adapter_hidden_direction,adapter_holdout,40,33,0.15022961171343924,0.31239182054996467,0.00691529012386261,0.008192936320844512,0.0,0.0015038004610687494,0.0029331765137612796,-0.006908893585205078,0.007453536987304688,0.9790209790209791,-0.0017020724248487517
oracle_schedule_adapter_hidden_direction,adapter_train,2720,314,0.032861300740585325,0.2785301253199572,0.0015292776243172072,0.012283655412418059,0.006617647058823529,0.00031741654281230536,0.0027832530438899987,-0.001609953712014591,0.0019358915441176471,0.9754079254079251,0.0005918835518201989
oracle_schedule_adapter_hidden_direction,validation,243,0,0.00337674509572946,0.013155024591833353,6.0950760873655176e-05,,0.0,3.655556083461385e-05,0.00013896748423576348,-0.0001249902042341821,7.830333317258231e-05,0.9716949716949717,0.00019658567633006638
oracle_no_bad_penalty_hidden_direction,adapter_holdout,40,33,0.14873974978982005,0.30821121931076023,0.0068450252447443075,0.008108178610874128,0.0,0.001489043142646551,0.0028938994742929913,-0.006839466094970703,0.0073795318603515625,0.9790209790209791,-0.0017020724248487517
oracle_no_bad_penalty_hidden_direction,adapter_train,2720,314,0.03261101510834123,0.27606835067272134,0.0015167959233082326,0.01217965321439995,0.006617647058823529,0.0003150128704660079,0.002758611645549535,-0.0015974507612340591,0.0019202709197998046,0.9754079254079251,0.0005918835518201989
oracle_no_bad_penalty_hidden_direction,validation,243,0,0.0033806419424490365,0.013007409404963255,6.099113373327252e-05,,0.0,3.66052850283713e-05,0.00013720169663429259,-0.00012506869594746656,7.827193648726852e-05,0.9716949716949717,0.00019658567633006638
learned_context_adapter_hidden_direction,adapter_holdout,40,33,0.6978472224669531,0.9449265331029892,0.029563737635609245,0.03237527906539051,0.25,0.007089467579498887,0.009637504536658525,-0.031174755096435545,0.031890487670898436,0.9790209790209791,-0.0017020724248487517
learned_context_adapter_hidden_direction,adapter_train,2720,314,0.146540796167666,0.9453249722719191,0.0059223695023567675,0.037965752660155026,0.013235294117647059,0.0014421125908163103,0.008955821860581636,-0.006721713963676901,0.007305739907657399,0.9754079254079251,0.0005918835518201989
learned_context_adapter_hidden_direction,validation,243,0,0.036409689027264165,0.14246235489845274,0.0007735546382022875,,0.0,0.00038864573180184933,0.0015266349539160727,-0.0014207471054767877,0.0010514435944733796,0.9716949716949717,0.00019658567633006638
learned_context_no_bad_penalty_hidden_direction,adapter_holdout,40,33,0.0008379296079510823,0.0009550590330036357,3.2686794069976784e-05,3.472547385844719e-05,0.0,8.654734119772912e-06,1.0045431554317475e-05,-3.604888916015625e-05,3.566741943359375e-05,0.9790209790209791,-0.0017020724248487517
learned_context_no_bad_penalty_hidden_direction,adapter_train,2720,314,0.0007663390346458661,0.0008822903881082311,1.4038062332103787e-05,3.484774122594285e-05,0.0,7.827556007267798e-06,9.457021951675413e-06,-2.86410836612477e-05,1.850128173828125e-05,0.9754079254079251,0.0005918835518201989
learned_context_no_bad_penalty_hidden_direction,validation,243,0,0.0008943165044507219,0.000963427365059033,1.2951971768809754e-05,,0.0,9.887587325072583e-06,1.105125993490219e-05,-3.123970188721708e-05,1.7362366978523664e-05,0.9716949716949717,0.00019658567633006638
learned_context_random_labels_hidden_direction,adapter_holdout,40,33,0.0013752360660873818,0.005328544438816595,4.860945243077355e-05,4.9586309690198185e-05,0.0,1.436341553926468e-05,5.237488076090799e-05,-5.970001220703125e-05,5.550384521484375e-05,0.9790209790209791,-0.0017020724248487517
learned_context_random_labels_hidden_direction,adapter_train,2720,314,0.0030018721187950767,0.006662691710516803,4.893118387793375e-05,7.619097868217842e-05,0.0,2.9392848613069337e-05,6.55231997370719e-05,-0.00011259247274959789,8.44422508688534e-05,0.9754079254079251,0.0005918835518201989
learned_context_random_labels_hidden_direction,validation,243,0,0.002490052943900726,0.006811394682154045,3.726330804960457e-05,,0.0,2.7252307521953505e-05,7.356852293014516e-05,-8.970032994148662e-05,5.196151419431584e-05,0.9716949716949717,0.00019658567633006638
manual_stage55_hawkes_hidden_direction,adapter_holdout,40,33,0.6218148625921458,1.6940895736217496,0.026979962783459904,0.029757273781975572,0.125,0.006262856116518378,0.01667941631749272,-0.02779808044433594,0.0285064697265625,0.9790209790209791,-0.0017020724248487517
manual_stage55_hawkes_hidden_direction,adapter_train,2720,314,0.015712227691512773,0.0,0.0007184608359673397,0.006223609789271224,0.003676470588235294,0.00015072371838066508,1.6205012798309326e-07,-0.0007747243432437672,0.0009386315065271714,0.9763736263736263,0.0005918835518201989
manual_stage55_hawkes_hidden_direction,validation,243,0,0.0,0.0,0.0,,0.0,2.9081792988404326e-08,8.940696716308594e-08,2.982685104809671e-07,-3.139668531378601e-07,0.9716949716949717,0.00019658567633006638
original_ppo_hidden_subspace,adapter_holdout,40,33,0.0,0.0,0.0,0.0,0.0,4.866160452365875e-08,1.6205012798309326e-07,-2.288818359375e-06,5.7220458984375e-07,0.9806859806859807,-0.0017020724248487517
original_ppo_hidden_subspace,adapter_train,2720,314,0.0,0.0,0.0,0.0,0.0,4.2640877997173986e-08,1.341104507446289e-07,7.152557373046875e-08,-3.6464017980238973e-08,0.9763736263736263,0.0005918835518201989
original_ppo_hidden_subspace,validation,243,0,0.0,0.0,0.0,,0.0,2.9081792988404326e-08,8.940696716308594e-08,2.982685104809671e-07,-3.139668531378601e-07,0.9716949716949717,0.00019658567633006638
oracle_schedule_adapter_hidden_subspace,adapter_holdout,40,33,0.1502042543666903,0.3123221695423124,0.006798037380990783,0.008053061388919149,0.0,0.0013863882515579462,0.002729215938597915,-0.006324291229248047,0.0069179534912109375,0.9790209790209791,-0.0017020724248487517
oracle_schedule_adapter_hidden_subspace,adapter_train,2720,314,0.032856834029553285,0.2784881770610804,0.0015012458529707635,0.012055832374139607,0.006617647058823529,0.0002943323733394637,0.002587307896465063,-0.001475962470559513,0.0017931517432717716,0.9754079254079251,0.0005918835518201989
oracle_schedule_adapter_hidden_subspace,validation,243,0,0.0033769191407077323,0.01315353587269783,6.0252732873633584e-05,,0.0,3.3266068179420974e-05,0.00012765247374773016,-0.000110626220703125,6.539929550861625e-05,0.9716949716949717,0.00019658567633006638
oracle_no_bad_penalty_hidden_subspace,adapter_holdout,40,33,0.14873977926908993,0.30821121931076023,0.0067301124628123404,0.0079711389654433,0.0,0.0013730040751397609,0.0026933469809591747,-0.00626220703125,0.006849479675292969,0.9790209790209791,-0.0017020724248487517
oracle_no_bad_penalty_hidden_subspace,adapter_train,2720,314,0.03261101975121539,0.27606846839189475,0.001489209938053682,0.011955559129388465,0.006617647058823529,0.0002921401043696439,0.002566250134259462,-0.0014649068608003505,0.001779012119068819,0.9754079254079251,0.0005918835518201989
oracle_no_bad_penalty_hidden_subspace,validation,243,0,0.003380642643336345,0.013007415272295474,6.028928779270003e-05,,0.0,3.33065328038769e-05,0.00012607071548700327,-0.00011094018755626286,6.558767562049897e-05,0.9716949716949717,0.00019658567633006638
learned_context_adapter_hidden_subspace,adapter_holdout,40,33,0.6951364641659893,0.9445212244987488,0.029023536549442997,0.03176857959947357,0.25,0.0064940953627228735,0.00880836956202984,-0.028363418579101563,0.029364585876464844,0.9790209790209791,-0.0017020724248487517
learned_context_adapter_hidden_subspace,adapter_train,2720,314,0.14559376055503087,0.9448497235774993,0.005797263989139914,0.03722969784208247,0.013235294117647059,0.00132462334654787,0.008291924465447664,-0.006092260865604176,0.006665557973525103,0.9754079254079251,0.0005918835518201989
learned_context_adapter_hidden_subspace,validation,243,0,0.03606954769031605,0.13907690942287443,0.0007566575076052396,,0.0,0.000351005682238826,0.001358612626791,-0.0012555848423836163,0.0008979765966595936,0.9716949716949717,0.00019658567633006638
learned_context_no_bad_penalty_hidden_subspace,adapter_holdout,40,33,0.0008379295657505281,0.0009550590330036357,3.215800956020525e-05,3.4141729304843104e-05,0.0,7.964903488755226e-06,9.17753204703331e-06,-3.5762786865234375e-05,3.490447998046875e-05,0.9790209790209791,-0.0017020724248487517
learned_context_no_bad_penalty_hidden_subspace,adapter_train,2720,314,0.0007663390256151187,0.0008822903881082311,1.3849293967071274e-05,3.423425494952763e-05,0.0,7.195875514298677e-06,8.571986109018324e-06,-2.5116696077234604e-05,1.5547696281881895e-05,0.9754079254079251,0.0005918835518201989
learned_context_no_bad_penalty_hidden_subspace,validation,243,0,0.0008943164699572932,0.000963427365059033,1.2803160307439294e-05,,0.0,8.984097114806313e-06,9.976886212825775e-06,-2.8508190264917694e-05,1.4097111705889917e-05,0.9716949716949717,0.00019658567633006638
learned_context_random_labels_hidden_subspace,adapter_holdout,40,33,0.00200828526285477,0.003920057904906571,7.276875106184394e-05,7.536674482108455e-05,0.0,1.915884204208851e-05,3.5684648901224135e-05,-8.04901123046875e-05,7.43865966796875e-05,0.9790209790209791,-0.0017020724248487517
learned_context_random_labels_hidden_subspace,adapter_train,2720,314,0.0031658016667600298,0.005680386885069304,5.474890223401621e-05,0.00012116787675163662,0.0,2.9369148507933408e-05,5.365740507841107e-05,-0.00010407531962675206,6.74275790943819e-05,0.9754079254079251,0.0005918835518201989
learned_context_random_labels_hidden_subspace,validation,243,0,0.003750255844965884,0.0063003846444189505,5.397707026766455e-05,,0.0,3.7518625028830005e-05,5.9932284057140346e-05,-0.00011988824287069188,6.244800708912037e-05,0.9716949716949717,0.00019658567633006638
manual_stage55_hawkes_hidden_subspace,adapter_holdout,40,33,0.6218148625921458,1.6940895736217496,0.02656858497555726,0.02929170565940319,0.125,0.005768960760906339,0.015509374532848594,-0.025377464294433594,0.026293373107910155,0.9790209790209791,-0.0017020724248487517
manual_stage55_hawkes_hidden_subspace,adapter_train,2720,314,0.015712227691512773,0.0,0.0007044420284924767,0.006102172985667314,0.003676470588235294,0.00013997477260144317,1.6205012798309326e-07,-0.000711206828846651,0.0008710720959831686,0.9763736263736263,0.0005918835518201989
manual_stage55_hawkes_hidden_subspace,validation,243,0,0.0,0.0,0.0,,0.0,2.9081792988404326e-08,8.940696716308594e-08,2.982685104809671e-07,-3.139668531378601e-07,0.9716949716949717,0.00019658567633006638
