candidate,candidate_stage,candidate_mode,control,candidate_delta_return,control_delta_return,control_adjusted_delta_return,candidate_delta_sharpe,control_delta_sharpe,control_adjusted_delta_sharpe,candidate_trigger_days,control_trigger_days,candidate_mean_alpha,control_mean_alpha
stage7a_replace_code3_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code3_schedule,0.0042074380125435296,0.0011902163946808653,0.0030172216178626643,0.03923423152439728,0.009717832840852508,0.02951639868354477,122,122,0.11421233986899533,0.11421328909789498
stage7a_replace_code3_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code3_schedule,0.003915204936659977,0.0011902163946808653,0.002724988541979112,0.03681412928724383,0.009717832840852508,0.02709629644639132,122,122,0.11421289053733237,0.11421328909789498
stage7b_promote_code4_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code4_own_context_schedule,0.005403582528404005,0.00277792439027158,0.002625658138132425,0.049159623284723196,0.026846052558182454,0.022313570726540742,259,259,0.690174170339553,0.690177470511062
stage7a_replace_code4_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code4_schedule,0.0018310416009412744,2.1404188499385413e-07,0.0018308275590562806,0.014989275305574506,2.485023012310794e-06,0.014986790282562196,5,5,0.0033379121039943905,0.0033379121039943905
stage7b_promote_code5_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code5_own_context_schedule,0.003555205117446225,0.002324031268164717,0.0012311738492815083,0.03411367075731753,0.02301095685429988,0.011102713903017647,201,201,0.48993445205339353,0.48993161833787363
stage7b_promote_code6_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code6_own_context_schedule,0.002442250655705247,0.0016215527446192812,0.0008206979110859658,0.025230700729235347,0.01308636201652029,0.012144338712715058,205,208,0.4935830502544545,0.4960989076348026
stage7b_promote_code7_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code7_own_context_schedule,0.0029239266694319754,0.0022724026417073606,0.0006515240277246148,0.03025171725212769,0.018886208738680826,0.011365508513446865,249,254,0.6982676402015492,0.7162860068685535
stage7a_replace_code6_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code6_schedule,0.002065510591037656,0.0014325402302175494,0.0006329703608201065,0.017059332901980306,0.011808410936567634,0.005250921965412672,56,56,0.03613897668334837,0.03613894446431533
stage7b_promote_context_best,stage7b,promote_context_best,stage7_control_random_direction_context_best_schedule,0.002933331760304081,0.002304738376246118,0.0006285933840579627,0.030322727533038413,0.018182418451048524,0.012140309081989889,274,279,0.7608735848478415,0.7788936893471061
stage7a_replace_code5_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code5_schedule,0.003346575651696937,0.002876831537656166,0.000469744114040771,0.02701526012983245,0.02365842470687589,0.003356835422956561,86,86,0.052593084891231,0.0525930694899888
stage7a_replace_code0_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code0_schedule,2.8443486344009727e-06,-1.0687406625242701e-06,3.913089296925243e-06,2.3078030782289205e-05,-8.55957553276554e-06,3.1637606315054745e-05,10,10,0.005593041195626902,0.005593040360660811
stage7a_replace_code0_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code0_schedule,1.4529491043635545e-06,-1.0687406625242701e-06,2.5216897668878246e-06,1.1622360912205698e-05,-8.55957553276554e-06,2.0181936444971238e-05,10,10,0.005593041439788243,0.005593040360660811
stage7a_replace_code1_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code1_schedule,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
stage7a_replace_code1_to_global_code7,stage7a,replace_global,stage7_control_random_replace_code1_schedule,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
stage7a_replace_code2_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code2_schedule,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
stage7a_replace_code2_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code2_schedule,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
stage7b_promote_code2_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code2_own_context_schedule,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
stage7a_replace_code4_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code4_schedule,-9.266652802764064e-06,2.1404188499385413e-07,-9.480694687757918e-06,-6.452830313222191e-05,2.485023012310794e-06,-6.70133261445327e-05,5,5,0.0033379121039943905,0.0033379121039943905
stage7a_replace_code6_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code6_schedule,0.0011907992031859882,0.0014325402302175494,-0.0002417410270315612,0.009749096719316314,0.011808410936567634,-0.0020593142172513207,56,56,0.03613880180020084,0.03613894446431533
stage7b_promote_code0_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code0_own_context_schedule,0.002846695083953743,0.003116573799205935,-0.000269878715252192,0.028592083856198935,0.02957532558832729,-0.0009832417321283538,259,259,0.6335864950954788,0.6335841699689903
stage7a_replace_code7_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code7_schedule,0.0012619517717951112,0.0018299289867573787,-0.0005679772149622675,0.010286557752930053,0.01498887618207205,-0.004702318429141997,10,10,0.010670073957285127,0.01067013126671458
stage7b_promote_code1_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code1_own_context_schedule,0.002796692726999561,0.0034414671875182545,-0.0006447744605186934,0.028221650213625882,0.03201186127805032,-0.0037902110644244397,264,264,0.6644738811227966,0.6644726352274675
stage7a_replace_code5_to_global_code1,stage7a,replace_global,stage7_control_random_replace_code5_schedule,0.0013417049523422042,0.002876831537656166,-0.0015351265853139617,0.011073986137213915,0.02365842470687589,-0.012584438569661974,86,86,0.05259332500891692,0.0525930694899888
stage7b_promote_code3_in_own_context,stage7b,promote_dominant_context,stage7_control_random_promote_code3_own_context_schedule,0.002177084584827904,0.003801280507629512,-0.0016241959228016078,0.02236481021207465,0.035483322620623176,-0.013118512408548527,147,147,0.33269519659107827,0.33269542728577084
stage7a_replace_code7_to_context_best,stage7a,replace_context_best,stage7_control_random_replace_code7_schedule,0.0,0.0018299289867573787,-0.0018299289867573787,0.0,0.01498887618207205,-0.01498887618207205,0,10,0.0,0.01067013126671458
