counterfactual_variant,stage7_stage,stage7_mode,n_days,final_return,annualized_sharpe,max_drawdown,mean_cash_exec,mean_turnover_l1,mean_alpha,trigger_days,p95_action_l1_shift,mean_target_prob_delta,delta_final_return_vs_original,delta_sharpe_vs_original,delta_max_drawdown_vs_original
stage7b_promote_code4_in_own_context,stage7b,promote_dominant_context,289,-0.01382357262196443,-0.05232869581661639,-0.11828194682679305,0.4903811997505208,0.007734343324913125,0.690174170339553,259,0.01772068813443184,0.006791468432089354,0.005403582528404005,0.049159623284723196,-0.0005213614306309733
stage7a_replace_code3_to_context_best,stage7a,replace_context_best,289,-0.015019717137824906,-0.062254087576942306,-0.11807951170376207,0.4916536836372527,0.007784456175982498,0.11421233986899533,122,0.006930543854832642,0.0004334898404403428,0.0042074380125435296,0.03923423152439728,-0.0003189263075999982
stage7a_replace_code3_to_global_code1,stage7a,replace_global,289,-0.015311950213708458,-0.06467418981409576,-0.11791735978076001,0.49284208821177894,0.00779042002156419,0.11421289053733237,122,0.004260249063372606,0.001642939345481484,0.003915204936659977,0.03681412928724383,-0.00015677438459793525
stage7_control_random_promote_code3_own_context_schedule,control,random_promote_dominant_context,289,-0.015425874642738924,-0.06600499648071641,-0.11799537574635499,0.4934405593723574,0.007822817782126807,0.33269542728577084,147,0.003922374919056892,-0.001817250132229552,0.003801280507629512,0.035483322620623176,-0.00023479035019291494
stage7b_promote_code5_in_own_context,stage7b,promote_dominant_context,289,-0.01567195003292221,-0.06737464834402206,-0.1179927236903281,0.4922845924601835,0.007738404193030206,0.48993445205339353,201,0.014384854584932326,0.004473883725504927,0.003555205117446225,0.03411367075731753,-0.00023213829416601772
stage7_control_random_promote_code1_own_context_schedule,control,random_promote_dominant_context,289,-0.01578568796285018,-0.06947645782328926,-0.11761684888975843,0.4954224601645783,0.007826731676311162,0.6644726352274675,264,0.0061927735805511475,-0.0012965579479098186,0.0034414671875182545,0.03201186127805032,0.00014373650640364666
stage7a_replace_code5_to_context_best,stage7a,replace_context_best,289,-0.0158805794986715,-0.07447305897150713,-0.1179777305809695,0.5051405012195086,0.0074264367709694626,0.052593084891231,86,0.0034116387367248502,0.00022306090722756564,0.003346575651696937,0.02701526012983245,-0.0002171451848074213
stage7_control_random_promote_code0_own_context_schedule,control,random_promote_dominant_context,289,-0.0161105813511625,-0.0719129935130123,-0.1177065838584963,0.49502248737226306,0.007823873533013377,0.6335841699689903,259,0.006460578367114064,0.0012127181591343006,0.003116573799205935,0.02957532558832729,5.400153766577098e-05
stage7b_promote_context_best,stage7b,promote_context_best,289,-0.016293823390064355,-0.07116559156830117,-0.11890409827023773,0.48916849133052626,0.007768111148330624,0.7608735848478415,274,0.01968317255377769,0.003928996635387486,0.002933331760304081,0.030322727533038413,-0.0011435128740756584
stage7b_promote_code7_in_own_context,stage7b,promote_dominant_context,289,-0.01630322848093646,-0.07123660184921189,-0.11890386257019148,0.48918515995505774,0.007730632052727958,0.6982676402015492,249,0.0196831926703453,0.0033752063976980762,0.0029239266694319754,0.03025171725212769,-0.0011432771740294
stage7_control_random_replace_code5_schedule,control,random_replace_global_schedule,289,-0.01635032361271227,-0.0778298943944637,-0.11803551321263861,0.5044960466223192,0.007429587174704645,0.0525930694899888,86,0.0008232537657022476,-8.47084786305739e-06,0.002876831537656166,0.02365842470687589,-0.0002749278164765334
stage7b_promote_code0_in_own_context,stage7b,promote_dominant_context,289,-0.016380460066414693,-0.07289623524514065,-0.11807168530392476,0.49148651880170235,0.007748957036007315,0.6335864950954788,259,0.01462913304567337,0.005373919040043799,0.002846695083953743,0.028592083856198935,-0.0003110999077626797
stage7b_promote_code1_in_own_context,stage7b,promote_dominant_context,289,-0.016430462423368875,-0.0732666688877137,-0.11816004964127702,0.49162159592016347,0.00774466123536808,0.6644738811227966,264,0.016203852370381355,0.006707768358266311,0.002796692726999561,0.028221650213625882,-0.0003994642451149444
stage7_control_random_promote_code4_own_context_schedule,control,random_promote_dominant_context,289,-0.016449230760096856,-0.07464226654315713,-0.11772220341899498,0.49481764461548683,0.00783066776779049,0.690177470511062,259,0.006354736536741255,0.001489522317868291,0.00277792439027158,0.026846052558182454,3.838197716710123e-05
stage7b_promote_code6_in_own_context,stage7b,promote_dominant_context,289,-0.01678490449466319,-0.07625761837210424,-0.1179830617506421,0.4926339846787568,0.007740847674623121,0.4935830502544545,205,0.014874493703246117,0.0041949572843280976,0.002442250655705247,0.025230700729235347,-0.0002224763544800279
stage7_control_random_promote_code5_own_context_schedule,control,random_promote_dominant_context,289,-0.01690312388220372,-0.0784773622470397,-0.11757808819809734,0.495524437215089,0.007835028780444883,0.48993161833787363,201,0.007700605317950249,0.0013845052511352862,0.002324031268164717,0.02301095685429988,0.00018249719806473497
stage7_control_random_direction_context_best_schedule,control,random_context_schedule,289,-0.016922416774122317,-0.08330590065029106,-0.11765061277698796,0.5062835402142217,0.007431565747296221,0.7788936893471061,279,0.005458775907754898,0.0005096438799846319,0.002304738376246118,0.018182418451048524,0.0001099726191741146
stage7_control_random_promote_code7_own_context_schedule,control,random_promote_dominant_context,289,-0.016954752508661075,-0.08260211036265876,-0.11791311335268151,0.5041972999444883,0.007428010065329411,0.7162860068685535,254,0.005979135632514954,1.5024556203548614e-05,0.0022724026417073606,0.018886208738680826,-0.00015252795651943263
stage7b_promote_code3_in_own_context,stage7b,promote_dominant_context,289,-0.01705007056554053,-0.07912350888926493,-0.11775819439159041,0.49496319059888383,0.007792390645728765,0.33269519659107827,147,0.007502643391489983,0.0035160142234865748,0.002177084584827904,0.02236481021207465,2.391004571666855e-06
stage7a_replace_code6_to_context_best,stage7a,replace_context_best,289,-0.01716164455933078,-0.08442898619935928,-0.11798780998393565,0.5050137071357879,0.007436415497248319,0.03613897668334837,56,0.0032529402524232864,0.00042241980981718824,0.002065510591037656,0.017059332901980306,-0.0002272245877735779
stage7a_replace_code4_to_global_code1,stage7a,replace_global,289,-0.01739611354942716,-0.08649904379576508,-0.11791298996021882,0.5053474127627574,0.007431538188809637,0.0033379121039943905,5,0.0,4.675717856041359e-05,0.0018310416009412744,0.014989275305574506,-0.00015240456405674063
stage7_control_random_replace_code7_schedule,control,random_replace_global_schedule,289,-0.017397226163611057,-0.08649944291926753,-0.11791625528621374,0.5053301019961446,0.007431555572595991,0.01067013126671458,10,0.0,-2.515963075461503e-05,0.0018299289867573787,0.01498887618207205,-0.00015566989005166842
stage7_control_random_promote_code6_own_context_schedule,control,random_promote_dominant_context,289,-0.017605602405749154,-0.0884019570848193,-0.11768969964405984,0.5052913393322572,0.007437602812748736,0.4960989076348026,208,0.0025028157979249954,0.0018863332089807266,0.0016215527446192812,0.01308636201652029,7.088575210223436e-05
stage7_control_random_replace_code6_schedule,control,random_replace_global_schedule,289,-0.017794614920150886,-0.08967990816477195,-0.11800438847255768,0.505130198226668,0.007437202044715011,0.03613894446431533,56,0.0009645447134971619,-2.6727050920298817e-05,0.0014325402302175494,0.011808410936567634,-0.00024380307639559895
stage7a_replace_code5_to_global_code1,stage7a,replace_global,289,-0.01788545019802623,-0.09041433296412567,-0.11798452353672462,0.5053051468307171,0.00743420549786707,0.05259332500891692,86,0.00198124013841152,0.000782607062260556,0.0013417049523422042,0.011073986137213915,-0.0002239381405625407
stage7a_replace_code7_to_global_code1,stage7a,replace_global,289,-0.017965203378573324,-0.09120176134840953,-0.1178337941557751,0.5054073830789348,0.0074419842344740006,0.010670073957285127,10,0.0,0.00017761739115079817,0.0012619517717951112,0.010286557752930053,-7.320875961303042e-05
stage7a_replace_code6_to_global_code1,stage7a,replace_global,289,-0.018036355947182448,-0.09173922238202327,-0.11789503638322496,0.5052817579371707,0.007441414744612869,0.03613880180020084,56,0.0016451440751552582,0.0005965471101668832,0.0011907992031859882,0.009749096719316314,-0.00013445098706288405
stage7_control_random_replace_code3_schedule,control,random_replace_global_schedule,289,-0.01803693875568757,-0.09177048626048707,-0.11785618811674337,0.5053796981135866,0.007441544191864961,0.11421328909789498,122,0.0012822061777114846,0.0001322065882490809,0.0011902163946808653,0.009717832840852508,-9.560272058128927e-05
stage7a_replace_code0_to_context_best,stage7a,replace_context_best,289,-0.019224310801734035,-0.1014652410705573,-0.11776058539616208,0.5054266928698364,0.007442454572675549,0.005593041195626902,10,0.0,3.546477184265777e-05,2.8443486344009727e-06,2.3078030782289205e-05,0.0
stage7a_replace_code0_to_global_code1,stage7a,replace_global,289,-0.019225702201264072,-0.10147669674042738,-0.11776058539616208,0.5054270085785215,0.007442454214166055,0.005593041439788243,10,0.0,6.622198774435354e-05,1.4529491043635545e-06,1.1622360912205698e-05,0.0
stage7_control_random_replace_code4_schedule,control,random_replace_global_schedule,289,-0.019226941108483442,-0.10148583407832727,-0.11776120012887814,0.5054219901355492,0.007442694911154285,0.0033379121039943905,5,0.0,-2.909255287298411e-06,2.1404188499385413e-07,2.485023012310794e-06,-6.147327160643812e-07
original_ppo,original,none,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,,0.0,0.0,0.0
stage7_control_random_promote_code2_own_context_schedule,control,random_promote_dominant_context,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7_control_random_replace_code1_schedule,control,random_replace_global_schedule,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7_control_random_replace_code2_schedule,control,random_replace_global_schedule,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code1_to_context_best,stage7a,replace_context_best,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code1_to_global_code7,stage7a,replace_global,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code2_to_context_best,stage7a,replace_context_best,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code2_to_global_code1,stage7a,replace_global,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7a_replace_code7_to_context_best,stage7a,replace_context_best,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7b_promote_code2_in_own_context,stage7b,promote_dominant_context,289,-0.019227155150368436,-0.10148831910133958,-0.11776058539616208,0.5054252566866396,0.007442660451225593,0.0,0,0.0,0.0,0.0,0.0,0.0
stage7_control_random_replace_code0_schedule,control,random_replace_global_schedule,289,-0.01922822389103096,-0.10149687867687235,-0.11776058539616208,0.5054251566580835,0.007442660371827427,0.005593040360660811,10,0.0,-1.2361559626652157e-06,-1.0687406625242701e-06,-8.55957553276554e-06,0.0
stage7a_replace_code4_to_context_best,stage7a,replace_context_best,289,-0.0192364218031712,-0.1015528474044718,-0.11776386457719545,0.5053983069311788,0.007443020735687216,0.0033379121039943905,5,0.0,3.430955951636774e-05,-9.266652802764064e-06,-6.452830313222191e-05,-3.279181033377654e-06
